Team,Opponent,Player,Odds of getting 25+,Team Win Odds,Venue,Timeslot,Got 25?,Model Probability
Geelong,Eagles,Gryan Miers,3.2,1.08,Perth,Twilight,Yes,0.5611278082275664
Geelong,Eagles,Tom Stewart,4.1,1.08,Perth,Twilight,No,0.16549480391991295
Geelong,Eagles,Lawson Humphries,4.9,1.08,Perth,Twilight,No,0.40193744568397155
Geelong,Eagles,Shaun Mannagh,5.75,1.08,Perth,Twilight,No,0.316901799
Geelong,Eagles,Sam De Koning,8.5,1.08,Perth,Twilight,No,0.10559605198955715
Geelong,Eagles,Tom Atkins,7,1.08,Perth,Twilight,No,0.30124254576514803
Geelong,Eagles,Oliver Dempsey,8,1.08,Perth,Twilight,No,0.164055915
Geelong,Eagles,Zach Guthrie,8.25,1.08,Perth,Twilight,No,0.3541732641334801
Geelong,Eagles,Mitch Duncan,8.25,1.08,Perth,Twilight,No,0.14822953371767916
Geelong,Eagles,Mark Blicavs,8.25,1.08,Perth,Twilight,No,0.040078718
Geelong,Eagles,Jeremy Cameron,10,1.08,Perth,Twilight,No,0.083033625
Geelong,Eagles,Mark O'Connor,14,1.08,Perth,Twilight,No,0.064474673
Geelong,Eagles,Connor O'Sullivan,19,1.08,Perth,Twilight,No,0.023899469
GWS,Richmond,Joseph Fonti,19,1.06,Engie,Twilight,No,Not assessed
Richmond,GWS,Dion Prestia,3.8,9.5,Engie,Twilight,Yes,Not assessed
Richmond,GWS,Nick Vlaustin,4.1,9.5,Engie,Twilight,No,Not assessed
Adelaide,Sydney,Mitch Hinge,3.8,1.63,SCG,Night,No,Not assessed
Saints,Dees,Mitchito Owens,10,2.63,Alice Springs,Day,No,Not assessed
Adelaide,Sydney,Wayner Milera,5.3,1.63,SCG,Night,No,Not assessed
Sydney,Adelaide,Matthew Roberts,2.25,2.28,SCG,Night,No,Not assessed
Adelaide,Sydney,Max Michanlanney,13,1.63,SCG,Night,No,Not assessed
